Year,prism_plus_tier,avg_profit_per_order,total_orders,total_earnings
2021,Silver,9.1785033015407222,1363,12510.300000000005
2021,,9.05362066169316,61660,558246.25000000023
2021,Bronze,8.2632276281494317,2302,19021.949999999993
2021,Platinum,8.134878913171887,1693,13772.350000000004
2021,Gold,8.0837893296853576,731,5909.2499999999964
2022,Gold,15.235770234986939,383,5835.2999999999975
2022,,15.013015864603208,113208,1699593.5
2022,Silver,14.251869158878513,856,12199.600000000008
2022,Bronze,13.81311834690044,1597,22059.550000000003
2022,Platinum,13.30587188612099,843,11216.849999999995